City Name,City ID,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind speed,Country,Date
kaitangata,2208248,-46.2817,169.8464,289.2,71,86,4.87,NZ,10/01/2021
chinsali,918905,-10.5414,32.0816,289.06,100,100,1.69,ZM,10/01/2021
lufilufi,4035249,-13.8745,-171.5986,305.15,74,20,5.14,WS,10/01/2021
barcelos,2742416,41.5388,-8.6151,279.15,70,0,2.57,PT,10/01/2021
zelenoborsk,1485286,61.4669,64.0333,246.79,89,89,2.33,RU,10/01/2021
namibe,3347019,-15.1961,12.1522,293.6,76,42,1.28,AO,10/01/2021
uhlove,690820,44.8215,33.6045,275.86,79,100,4.54,UA,10/01/2021
nosivka,699917,50.9315,31.5828,272.48,95,99,5.17,UA,10/01/2021
moose factory,6078372,51.2585,-80.6094,268.15,100,90,1.03,CA,10/01/2021
sorong,1626542,-0.8833,131.25,302.26,72,100,2.61,ID,10/01/2021
thinadhoo,1337610,0.5333,72.9333,300.73,68,100,4.29,MV,10/01/2021
san cristobal,3628473,7.7669,-72.225,291.06,89,93,0.9,VE,10/01/2021
selenginsk,2017059,52.0064,106.8647,256.15,78,100,1.0,RU,10/01/2021
saskylakh,2017155,71.9167,114.0833,241.63,85,100,4.36,RU,10/01/2021
riyadh,108410,24.6877,46.7219,282.15,87,0,1.03,SA,10/01/2021
catamarca,3837702,-28.4696,-65.7852,299.26,69,11,2.68,AR,10/01/2021
saint paul,5045360,44.9444,-93.0933,266.48,93,90,2.06,US,10/01/2021
faanui,4034551,-16.4833,-151.75,300.52,71,26,5.04,PF,10/01/2021
nishihara,1855342,26.1842,127.7558,290.15,39,75,7.2,JP,10/01/2021
urbino,6541472,43.7298,12.6356,276.15,100,90,1.03,IT,10/01/2021
brae,2654970,60.3964,-1.353,275.15,87,75,6.17,GB,10/01/2021
dingle,1714733,10.9995,122.6711,297.41,89,100,6.9,PH,10/01/2021
hervey bay,2146219,-25.2986,152.8535,299.26,70,99,4.02,AU,10/01/2021
kununurra,2068110,-15.7667,128.7333,310.15,44,0,2.57,AU,10/01/2021
nelson,2186280,-41.2833,173.2833,296.48,64,73,1.34,NZ,10/01/2021
kysyl-syr,2021017,63.8986,122.7617,244.1,86,100,2.33,RU,10/01/2021
petropavlovsk-kamchatskiy,2122104,53.0452,158.6483,266.15,42,9,1.0,RU,10/01/2021
carnarvon,2074865,-24.8667,113.6333,304.15,55,37,11.32,AU,10/01/2021
eyl,60019,7.9803,49.8164,294.61,71,70,8.78,SO,10/01/2021
esperance,2071860,-33.8667,121.9,295.15,68,90,10.8,AU,10/01/2021
fort saint james,5881688,54.4333,-124.25,268.63,97,100,1.66,CA,10/01/2021
outjo,3353715,-20.1167,16.15,290.19,84,97,4.93,NA,10/01/2021
alice,4670234,27.7523,-98.0697,287.15,71,90,5.66,US,10/01/2021
jacareacanga,3397763,-6.2222,-57.7528,295.56,93,52,0.45,BR,10/01/2021
mongu,906054,-15.2484,23.1274,292.04,96,100,2.36,ZM,10/01/2021
peachtree city,4215110,33.3968,-84.5958,273.15,74,1,6.69,US,10/01/2021
mackay,2159220,-21.15,149.2,297.15,94,75,7.72,AU,10/01/2021
egvekinot,4031742,66.3167,-179.1667,243.66,85,38,4.55,RU,10/01/2021
fernley,5504003,39.608,-119.2518,272.04,57,31,1.24,US,10/01/2021
atar,2381334,20.5169,-13.0499,287.2,49,3,7.16,MR,10/01/2021
likasi,922741,-10.9814,26.7333,290.2,92,100,1.55,CD,10/01/2021
gavrilov-yam,561762,57.3018,39.8533,263.15,85,90,4.0,RU,10/01/2021
walvis bay,3359638,-22.9575,14.5053,293.15,72,87,2.57,NA,10/01/2021
conceicao do araguaia,3401845,-8.2578,-49.2647,296.8,93,64,1.48,BR,10/01/2021
lenoir city,4636285,35.7973,-84.256,272.04,78,2,0.45,US,10/01/2021
fort nelson,5955902,58.8053,-122.7002,259.15,85,75,0.53,CA,10/01/2021
chara,2025630,56.9064,118.2631,252.0,79,100,1.39,RU,10/01/2021
deniliquin,2169068,-35.5333,144.9667,309.12,15,96,1.32,AU,10/01/2021
mbini,2308278,1.574,9.6134,299.15,100,40,2.52,GQ,10/01/2021
eureka,5563397,40.8021,-124.1637,283.15,79,81,0.89,US,10/01/2021
quatre cocos,1106643,-20.2078,57.7625,300.93,83,75,4.12,MU,10/01/2021
georgetown,1735106,5.4112,100.3354,304.26,58,20,4.63,MY,10/01/2021
coihaique,3894426,-45.5752,-72.0662,280.15,76,75,2.57,CL,10/01/2021
bardiyah,80509,31.7561,25.0865,291.86,49,54,4.04,LY,10/01/2021
comodoro rivadavia,3860443,-45.8667,-67.5,288.15,51,0,7.72,AR,10/01/2021
ponta delgada,3372783,37.7333,-25.6667,283.15,71,40,1.54,PT,10/01/2021
nantucket,4944903,41.2835,-70.0995,275.15,80,90,6.17,US,10/01/2021
rodrigues alves,3665210,-7.738,-72.6509,295.38,95,92,0.8,BR,10/01/2021
